Bird,Cluster
Greater White-fronted Goose,0
American Pipit,0
Northern Mockingbird,0
Sage Thrasher,0
Varied Thrush,0
Wood Thrush,0
Townsend's Solitaire,0
bluebird sp.,0
Eastern Bluebird,0
Bewick's Wren,0
Marsh Wren,0
Sedge Wren,0
Boreal Chickadee,0
Barn Swallow,0
Horned Lark (Eastern dark Group),0
crow sp.,0
White-eyed Vireo,0
Eastern Phoebe,0
Peregrine Falcon,0
kingfisher sp.,0
screech-owl sp.,0
Great Black-backed Gull,0
Iceland Gull,0
Thayer's Gull,0
Bonaparte's Gull,0
Black-legged Kittiwake,0
American Woodcock,0
Wilson's/Common Snipe,0
Wilson's Snipe,0
Killdeer,0
Bohemian Waxwing,0
Sora,0
longspur sp.,0
Northern Waterthrush,0
finch sp.,0
Evening Grosbeak,0
Spinus sp. (goldfinch sp.),0
redpoll sp.,0
Hoary Redpoll,0
Pine Grosbeak,0
blackbird sp.,0
Baltimore Oriole,0
Common Grackle (Purple),0
Brewer's Blackbird,0
Eastern Meadowlark,0
Western Meadowlark,0
Rose-breasted Grosbeak,0
Spotted/Eastern Towhee (Rufous-sided Towhee),0
Spotted Towhee,0
Lincoln's Sparrow,0
Savannah Sparrow,0
Vesper Sparrow,0
Harris's Sparrow,0
Dark-eyed Junco (Oregon),0
Dark-eyed Junco (Slate-colored/Cassiar),0
Black-throated Sparrow,0
Chipping Sparrow,0
Yellow-rumped Warbler (Myrtle),0
Yellow-rumped Warbler,0
Pine Warbler,0
yellowthroat sp.,0
Common Yellowthroat,0
Orange-crowned Warbler,0
Ovenbird,0
King Rail,0
Northern Flicker (Yellow-shafted),0
bird sp.,0
Green-winged Teal (American),0
Harlequin Duck,0
Surf Scoter,0
Black Scoter,0
American Bittern,0
Double-crested Cormorant,0
Western Grebe,0
Barrow's Goldeneye,0
Red-necked Grebe,0
Common/Barrow's Goldeneye,0
loon sp.,0
Northern Bobwhite,0
Buteo sp.,0
Red-throated Loon,0
Gray Partridge,0
Black-crowned Night-Heron,0
Blue-winged Teal,0
Greater/Lesser Prairie-Chicken,0
Broad-winged Hawk,0
Northern Goshawk (American),0
Ross's Goose,0
Accipiter sp.,0
Mute Swan,0
American Tree Sparrow,1
Canada Goose,2
Mallard,3
House Sparrow,4
Dark-eyed Junco,5
Red-breasted Merganser,6
Brown Thrasher,6
Cedar Waxwing,6
Hooded Merganser,6
Snow Bunting,6
Gray Catbird,6
White-winged Crossbill,6
American Robin,6
Cackling Goose,6
Hermit Thrush,6
Bufflehead,6
Snow Goose,6
Ruddy Duck,6
Long-tailed Duck,6
Western/Eastern Meadowlark,6
Trumpeter Swan,6
Eastern Towhee,6
Northern Pintail,6
American Wigeon,6
Swamp Sparrow,6
Green-winged Teal,6
Song Sparrow,6
Common Grackle,6
White-throated Sparrow,6
Red Crossbill,6
Redhead,6
Ring-necked Duck,6
Greater Scaup,6
Ruffed Grouse,6
Fox Sparrow,6
Field Sparrow,6
Brown-headed Cowbird,6
Wood Duck,6
White-winged Scoter,6
White-crowned Sparrow,6
Purple Finch,6
Rough-legged Hawk,6
Golden-crowned Kinglet,6
Yellow-bellied Sapsucker,6
Red-bellied Woodpecker,6
Red-headed Woodpecker,6
Great Blue Heron (Blue form),6
Belted Kingfisher,6
Northern Saw-whet Owl,6
Ruby-crowned Kinglet,6
Long-eared Owl,6
Barred Owl,6
Snowy Owl,6
Great Horned Owl,6
Downy Woodpecker,6
Eastern Screech-Owl,6
Northern Harrier,6
Glaucous Gull,6
Lesser Black-backed Gull,6
Sharp-shinned Hawk,6
Cooper's Hawk,6
Northern Goshawk,6
Bald Eagle,6
Red-shouldered Hawk,6
Sandhill Crane,6
Red-tailed Hawk,6
Virginia Rail,6
gull sp.,6
Hairy Woodpecker,6
Short-eared Owl,6
Pileated Woodpecker,6
Tufted Titmouse,6
Red-breasted Nuthatch,6
White-breasted Nuthatch,6
Brown Creeper,6
Winter Wren,6
Pied-billed Grebe,6
Horned Lark,6
Horned Grebe,6
Common Loon,6
Carolina Wren,6
Northern Shrike,6
Merlin,6
American Kestrel,6
Wild Turkey,6
Pacific/Winter Wren,6
Northern Flicker,6
Red-winged Blackbird,7
European Starling,8
Common Redpoll,9
Pine Siskin,9
Gadwall,9
duck sp.,9
Rusty Blackbird,9
Ring-necked Pheasant,9
Lesser Scaup,9
sparrow sp.,9
Dark-eyed Junco (Slate-colored),9
Lapland Longspur,9
chickadee sp.,9
Rock Pigeon (Feral Pigeon),10
American Goldfinch,10
Blue Jay,10
Black-capped Chickadee,10
Tundra Swan,10
Mourning Dove,10
Northern Shoveler,10
Northern Cardinal,10
House Finch,10
American Coot,11
Ring-billed Gull,12
Herring Gull,12
Canvasback,12
Common Goldeneye,12
Common Merganser,12
American Black Duck,12
American Crow,13
